Date;company;Date2;location;Date3;title
2014-12-09;網路家庭國際資訊股份有限公司;2014-12-09;台北市 大安區;2014-12-09;JAVA研發工程師
2014-12-09;广州雍圆信息技术有限公司;2014-12-09;台灣;2014-12-09;行业销售经理
2014-12-09;網路家庭國際資訊股份有限公司;2014-12-09;台北市 大安區;2014-12-09;PHP軟體工程師(E0802)
2014-07-03;動力安全資訊股份有限公司;2014-07-03;台北市 內湖區;2014-07-03;Software Engineer: Splunk Big Data & Hadoop
2014-07-03;cacaFly 聖洋科技股份有限公司;2014-07-03;台北市;2014-07-03;資深 Java 工程師
2014-07-10;和碩聯合科技股份有限公司;2014-07-10;台北市 北投區;2014-07-10;Big Data軟體工程師_3157
2014-07-10;Blizzard Entertainment;2014-07-10;台北市;2014-07-10;Systems Administrator
2014-06-28;中強光電股份有限公司;2014-06-28;苗栗縣 竹南鎮;2014-06-28;研發類-BI系統資深工程師(IBS)
2014-06-28;和碩聯合科技股份有限公司;2014-06-28;台北市 北投區;2014-06-28;Hadoop軟體研發工程師_3215
2016-08-02;TutorABC;2016-08-02;台灣;2016-08-02;技術總監
2016-08-02;元誠國際資產管理股份有限公司;2016-08-02;新北市 永和區;2016-08-02;Database Administrator 資料庫工程師
2016-08-02;TutorABC;2016-08-02;台灣;2016-08-02;Senior Engineering Manager
2016-08-02;亞旭電腦股份有限公司;2016-08-02;新北市 中和區;2016-08-02;雲端服務工程師
2016-08-02;台灣積體電路製造股份有限公司;2016-08-02;新竹市 東區;2016-08-02;資訊工程類-Big Data Analyst/Data Scientist
2014-08-20;友訊科技股份有限公司;2014-08-20;台北市 內湖區;2014-08-20;Cloud Service Developer
2014-08-20;台灣新蛋股份有限公司;2014-08-20;台北市 內湖區;2014-08-20;Senior BSA工程師(台北)
2016-08-05;關貿網路股份有限公司;2016-08-05;台北市 南港區;2016-08-05;Hadoop軟體工程師
2014-05-23;台灣新蛋股份有限公司;2014-05-23;高雄市 前鎮區;2014-05-23;Hadoop 軟體工程師(高雄)
2014-05-23;台灣新蛋股份有限公司;2014-05-23;台北市 內湖區;2014-05-23;Senior Developer(台北)
2014-05-23;台灣新蛋股份有限公司;2014-05-23;台北市 內湖區;2014-05-23;Senior BSA工程師(台北)
2014-05-23;趨勢科技;2014-05-23;台北市;2014-05-23;DBA
2014-08-03;華亞科技股份有限公司;2014-08-03;桃園縣 龜山鄉;2014-08-03;資訊開發資深工程師
2014-08-03;華亞科技股份有限公司;2014-08-03;桃園縣 龜山鄉;2014-08-03;資訊開發工程師
2014-08-03;叡揚資訊股份有限公司;2014-08-03;台北市 中山區;2014-08-03;軟體工程師
2016-03-21;竹間智能科技有限公司;2016-03-21;台北市 內湖區;2016-03-21;自然語言處理科學家
2016-03-21;緯創軟體股份有限公司;2016-03-21;新竹市;2016-03-21;Cloud Computing軟體工程師-新竹
2016-03-21;笛林傑國際科技股份有限公司;2016-03-21;台北市 信義區;2016-03-21;軟體系統工程師
2016-03-21;關貿網路股份有限公司;2016-03-21;台北市 南港區;2016-03-21;Hadoop軟體工程師
2016-03-21;財團法人金屬工業研究發展中心;2016-03-21;高雄市 楠梓區;2016-03-21;海量資料系統開發工程師
2014-05-04;北京英泰德商务咨询有限公司;2014-05-04;台灣;2014-05-04;知名数据仓库设备商 Experienced Hadoop Architect
2014-08-04;永慶房產集團;2014-08-04;台北市 大安區;2014-08-04;Big Data資深開發工程師.
